Key,English,Japanese
meleeWpnBatonT3PlasmaBatonLongDesc,"[e7a729]The Plasma Arc Baton Mark 1[-] is a superior stun baton prototype unit under limited release by Yo-Yo-Dyne Tech a year before the apocalypse and sold exclusively at S-Mart. It comes with a built-in plasma arc reactor to allow it a faster charge capacity than the normal stun baton as well as greater strength from carbon fiber and titanium reinforcement. On top of that it has build in gyroscopes and AI-Enabled NPU's to allow cross-skill assistance when weilding it. If you have levels in Electrocutioner, Deep Cuts, or Pummel Pete you will find yourself with the ability to cause maximum damage with this technological nightmare of melee combat. [e7a729]Remember, shop smart, Shop S-Mart.[-]","[e7a729]Japanese[-]"
meleeWpnBatonT3PlasmaBatonDesc,"[e7a729]Plasma Baton Mk1[-]","[e7a729]Japanese[-]"
meleeWpnBatonT3PlasmaBaton,"[e7a729]Plasma Baton Mk1[-]","[e7a729]Japanese[-]"
perkBatonT3PlasmaBatonLongDesc,"[e7a729]The Plasma Arc Baton Mark 1[-] is a superior stun baton prototype unit under limited release by Yo-Yo-Dyne Tech a year before the apocalypse and sold exclusively at S-Mart. It comes with a built-in plasma arc reactor to allow it a faster charge capacity than the normal stun baton as well as greater strength from carbon fiber and titanium reinforcement. On top of that it has build in gyroscopes and AI-Enabled NPU's to allow cross-skill assistance when weilding it. If you have levels in Electrocutioner, Deep Cuts, or Pummel Pete you will find yourself with the ability to cause maximum damage with this technological nightmare of melee combat. [e7a729]Remember, shop smart, Shop S-Mart.[-]","[e7a729]Japanese[-]"
perkBatonT3PlasmaBatonDesc,"[e7a729]Plasma Baton Mk1[-]","[e7a729]Japanese[-]"

bookBatonAutoRechargerLongDesc,"[e7a729]Auto-Recharger Mod[-] for the stun baton class of weapons. Will automatically recharge the stun from just holding the baton with this mod installed.The stun becomes overcharged from this units installation, allowing it to operate at a higher current output consistently, which leads to living tissues catching fire from contact. [e7a729]Don't Touch it.[-]","[e7a729]Japanese[-]"
bookBatonAutoRechargerDesc,"[e7a729]Auto-Recharger Mod[-]","[e7a729]Japanese[-]"

perkBatonModderLongDesc,"[e7a729]Auto-Recharger Mod[-] for the stun baton class of weapons. Will automatically recharge the stun from just holding the baton with this mod installed.The stun becomes overcharged from this units installation, allowing it to operate at a higher current output consistently, which leads to living tissues catching fire from contact. [e7a729]Don't Touch it.[-]","[e7a729]Japanese[-]"
perkBatonModderDesc,"[e7a729]Auto-Recharger Mod[-]","[e7a729]Japanese[-]"

modMeleeStunBatonRechargerLongDesc,"[e7a729]Auto-Recharger Mod[-] for the stun baton class of weapons. Will automatically recharge the stun from just holding the baton with this mod installed.The stun becomes overcharged from this units installation, allowing it to operate at a higher current output consistently, which leads to living tissues catching fire from contact more often than not. [e7a729]Don't Touch it.[-]","[e7a729]Japanese[-]"
modMeleeStunBatonRechargerDesc,"[e7a729]Auto-Recharger Mod[-] for the stun baton class of weapons. Will automatically recharge the stun from just holding the baton with this mod installed.The stun becomes overcharged from this units installation, allowing it to operate at a higher current output consistently, which leads to living tissues catching fire from contact more often than not. [e7a729]Don't Touch it.[-]","[e7a729]Japanese[-]"
modMeleeStunBatonRecharger,"[e7a729]Auto-Recharger Mod[-]","[e7a729]Japanese[-]"

perkBatonCompleteLongDesc,"[e7a729]Using a charge attack will spread shock and fire to all enemies within 3 meters.[-]","[e7a729]Japanese[-]"
perkBatonCompleteDesc,"[e7a729]Mastery: Chain Lightning[-]","[e7a729]Japanese[-]"


------------Buffs---------------------
buffBatonDamageIncreasePlayerName,"[e7a729]Electrical Discharge[-]","[e7a729]Japanese[-]"
buffBatonDamageIncreasePlayerDesc,"[e7a729]30% increased damage for 2 seconds.[-]","[e7a729]Japanese[-]"




